"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
nu_notific,ficha_acidente_por_animais_peonhentos,,text,"Número de notificação",,,,,,,,,,,,,
tp_not,ficha_acidente_por_animais_peonhentos,"Dados Gerais",text,"1 - Tipo de notificação",,,,,,,,,,,,,
cod_agravo,ficha_acidente_por_animais_peonhentos,,text,"2 - Código do agravo/doença",,,,,,,,,,,,,
dt_notific,ficha_acidente_por_animais_peonhentos,,text,"3 - Data da notificação",,,date_dmy,,,,,,,,,,
uf_notific,ficha_acidente_por_animais_peonhentos,,text,"4 - UF de notificação",,,,,,,,,,,,,
municipio_notific,ficha_acidente_por_animais_peonhentos,,text,"5 - Município de notificação",,,,,,,,,,,,,
cod_municipio,ficha_acidente_por_animais_peonhentos,,text,"5 - Código  município de notificação",,,,,,,,,,,,,
unidade_saude,ficha_acidente_por_animais_peonhentos,,text,"6 - Unidade de Saúde (ou outra fonte indicadora)",,,,,,,,,,,,,
cod_unidade_saude,ficha_acidente_por_animais_peonhentos,,text,"6 - Código da Unidade de saúde",,,,,,,,,,,,,
dt_primeiros_sintomas,ficha_acidente_por_animais_peonhentos,,text,"7 - Data dos primeiros sintomas",,,date_dmy,,,,,,,,,,
nome,ficha_acidente_por_animais_peonhentos,"Notificação Individual",text,"8 - Nome do Paciente",,,,,,,,,,,,,
dt_nascimento,ficha_acidente_por_animais_peonhentos,,text,"9 - Data de nascimento",,,date_dmy,,,,,,,,,,
idade,ficha_acidente_por_animais_peonhentos,,text,"10 - Idade",,,,,,,"[dt_nascimento] = """"",,,,,,
sexo,ficha_acidente_por_animais_peonhentos,,dropdown,"11 - Sexo","M, Masculino | F, Feminino | I, Ignorado",,,,,,,,,,,,
gestante,ficha_acidente_por_animais_peonhentos,,dropdown,"12 - Gestante","1, 1- 1° trimestre | 2, 2 - 2° trimestre | 3, 3 - 3° trimestre | 4, 4 - Idade gestacional ignorada | 5, 5 - Não | 6, 6 - Não se aplica | 9, 9 - Ignorado",,,,,,,,,,,,
raca,ficha_acidente_por_animais_peonhentos,,dropdown,"13 - Raça","1, 1 - Branca | 2, 2 - Preta | 3, 3 - Amarela | 4, 4 - Parda | 5, 5 - Indígena | 9, 9 - Ignorado",,,,,,,,,,,,
escolaridade,ficha_acidente_por_animais_peonhentos,,dropdown,"14 - Escolaridade","0, 0 - Analfabeto | 1, 1 - 1ª a 4ª série incompleta do EF (antigo primário ou 1º grau) | 2, 2 - 4ª série completa do EF (antigo primário ou 1º grau) | 3, 3 - 5ª à 8ª série incompleta do EF (antigo ginásio ou 1º grau) | 4, 4 - Ensino fundamental completo (antigo ginásio ou 1º grau) | 5, 5 - Ensino médio incompleto (antigo colegial ou 2º grau ) | 6, 6 - Ensino médio completo (antigo colegial ou 2º grau ) | 7, 7 - Educação superior incompleta | 8, 8 - Educação superior completa | 9, 9 - Ignorado | 10, 10 - Não se aplica",,,,,,,,,,,,
nu_cartao_sus,ficha_acidente_por_animais_peonhentos,,text,"15 - Número do cartão do SUS",,,,,,,,,,,,,
nome_mae,ficha_acidente_por_animais_peonhentos,,text,"16 - Nome da mãe",,,,,,,,,,,,,
uf_residencia,ficha_acidente_por_animais_peonhentos,"Dados de residência",text,"17 - UF de residência",,,,,,,,,,,,,
municipio_residencia,ficha_acidente_por_animais_peonhentos,,text,"18 - Município de residência",,,,,,,,,,,,,
cod_municipio_residencia,ficha_acidente_por_animais_peonhentos,,text,"18 - Código município de residência",,,,,,,,,,,,,
distrito,ficha_acidente_por_animais_peonhentos,,text,"19 - Distrito",,,,,,,,,,,,,
bairro,ficha_acidente_por_animais_peonhentos,,text,"20 - Bairro",,,,,,,,,,,,,
logradouro,ficha_acidente_por_animais_peonhentos,,text,"21 - Logradouro",,,,,,,,,,,,,
cod_logradouro,ficha_acidente_por_animais_peonhentos,,text,"21 - Código logradouro",,,,,,,,,,,,,
numero_residencia,ficha_acidente_por_animais_peonhentos,,text,"22 - Número",,,,,,,,,,,,,
complemento,ficha_acidente_por_animais_peonhentos,,text,"23 - Complemento",,,,,,,,,,,,,
geo_campo1,ficha_acidente_por_animais_peonhentos,,text,"24 - Geo campo 1",,,,,,,,,,,,,
geo_campo2,ficha_acidente_por_animais_peonhentos,,text,"25 - Geo campo 2",,,,,,,,,,,,,
ponto_referencia,ficha_acidente_por_animais_peonhentos,,text,"26 - Ponto de referência",,,,,,,,,,,,,
cep,ficha_acidente_por_animais_peonhentos,,text,"27 - CEP",,,,,,,,,,,,,
telefone,ficha_acidente_por_animais_peonhentos,,text,"28 - (DDD) Telefone",,,,,,,,,,,,,
zona,ficha_acidente_por_animais_peonhentos,,dropdown,"29 - Zona","1, 1 - Urbana | 2, 2 - Rural | 3, 3 - Periurbana | 9, 9 - Ignorado",,,,,,,,,,,,
pais,ficha_acidente_por_animais_peonhentos,,text,"30 - País (se residente fora do Brasil)",,,,,,,,,,,,,
data_investigacao,ficha_acidente_por_animais_peonhentos,"Antecedentes Epidemiológicos",text,"31 - Data da investigação",,,date_dmy,,,,,,,,,,
ocupacao,ficha_acidente_por_animais_peonhentos,,text,"32 - Ocupação",,,,,,,,,,,,,
data_acidente,ficha_acidente_por_animais_peonhentos,,text,"33 - Data do acidente",,,date_dmy,,,,,,,,,,
uf_acidente,ficha_acidente_por_animais_peonhentos,,text,"34 - UF ocorrência do acidente",,,,,,,,,,,,,
municipio_acidente,ficha_acidente_por_animais_peonhentos,,text,"35 - Município de ocorrência do acidente",,,,,,,,,,,,,
cod_municipio_acidente,ficha_acidente_por_animais_peonhentos,,text,"35 - Código do município de ocorrência do acidente",,,,,,,,,,,,,
localidade_acidente,ficha_acidente_por_animais_peonhentos,,text,"36 - Localidade de ocorrência do acidente",,,,,,,,,,,,,
zona_acidente,ficha_acidente_por_animais_peonhentos,,dropdown,"37 - Zona de ocorrência","1, 1 - Urbana | 2, 2 - Rural | 3, 3 - Periurbana | 9, 9 - Ignorado",,,,,,,,,,,,
tempo_decorrido,ficha_acidente_por_animais_peonhentos,,dropdown,"38 - Tempo decorrido picada/atendimento","1, 1) 0|- 1h | 2, 2) 1|- 3h | 3, 3) 3|- 6h | 4, 4) 6|- 12h | 5, 5) 12|-24 h | 6, 6) 24 e + h | 9, 9) Ignorado",,,,,,,,,,,,
local_picada,ficha_acidente_por_animais_peonhentos,,dropdown,"39 - Local da picada","1, 01 - Cabeça | 2, 02 - Braço | 3, 03 - Ante-Braço | 4, 04 - Mão | 5, 05 - Dedo da Mão | 6, 06 - Tronco | 7, 07 - Coxa | 8, 08 - Perna | 9, 09 - Pé | 10, 10 - Dedo do Pé | 99, 99 - Ignorado",,,,,,,,,,,,
manifestacoes_locais,ficha_acidente_por_animais_peonhentos,,dropdown,"40 - Manifestações locais","1, 1 - Sim | 2, 2 - Não | 9, 9 - Ignorado",,,,,,,,,,,,
manifestacoes_especificar,ficha_acidente_por_animais_peonhentos,,checkbox,"41 - Se Manifestações Locais Sim, especificar:","1, Dor | 2, Edema | 3, Equimose | 4, Necrose | 5, Outras (Espec.)",,,,,,"[manifestacoes_locais] = ""1""",,,,,,
manifestacoes_outras,ficha_acidente_por_animais_peonhentos,,text,"Outras (Espec.)",,,,,,,"[manifestacoes_especificar] = ""5""",,,,,,
